,Principal,terms,age,Gender,education
214,1000,15,35,female,Bechalor
162,1000,30,30,male,High School or Below
343,800,15,39,male,college
211,800,15,26,male,college
58,800,15,29,male,college
285,1000,30,38,female,college
42,1000,30,35,female,Bechalor
4,1000,30,29,male,college
40,1000,30,32,male,college
276,800,15,32,male,college
121,800,15,33,female,college
136,800,15,31,male,Bechalor
201,800,15,33,male,High School or Below
109,1000,15,26,male,High School or Below
103,1000,30,33,male,college
118,1000,30,20,male,High School or Below
77,1000,30,36,male,college
180,1000,30,33,female,High School or Below
233,1000,30,32,female,college
70,1000,30,24,female,High School or Below
6,1000,30,28,male,college
191,1000,30,33,male,Bechalor
332,1000,30,26,male,High School or Below
231,800,30,40,female,college
188,1000,15,35,male,college
134,1000,30,27,male,High School or Below
262,800,15,27,male,college
153,300,7,29,male,High School or Below
3,1000,30,28,female,college
252,1000,30,41,male,High School or Below
122,1000,30,30,male,High School or Below
78,1000,30,34,male,college
64,1000,30,35,male,college
18,1000,30,26,male,college
336,1000,15,32,male,High School or Below
43,800,15,35,female,Bechalor
266,1000,30,33,male,college
140,1000,30,24,male,High School or Below
327,1000,30,25,male,High School or Below
222,1000,30,19,male,High School or Below
260,1000,15,29,male,college
310,800,15,29,male,High School or Below
273,1000,30,25,male,college
45,1000,30,21,male,High School or Below
305,1000,30,45,male,High School or Below
143,1000,15,38,male,High School or Below
265,1000,30,40,male,High School or Below
294,1000,30,23,male,High School or Below
196,800,15,26,male,college
21,1000,30,29,male,High School or Below
108,1000,30,38,male,Bechalor
57,1000,30,43,male,Bechalor
234,1000,30,28,male,college
321,1000,30,29,male,college
29,1000,30,37,male,college
149,1000,30,38,male,High School or Below
325,1000,30,30,male,college
94,1000,15,25,male,High School or Below
311,1000,30,26,male,High School or Below
194,800,15,37,male,Bechalor
132,800,15,29,male,High School or Below
89,800,15,29,male,college
190,1000,15,30,male,High School or Below
34,800,15,30,male,college
72,800,15,46,female,High School or Below
315,800,30,33,male,High School or Below
263,800,15,24,male,Bechalor
139,1000,15,25,male,High School or Below
337,1000,15,30,male,college
326,1000,30,32,male,college
111,1000,30,26,male,High School or Below
287,1000,30,31,male,college
12,1000,7,27,male,High School or Below
87,1000,30,28,male,college
164,1000,30,27,female,High School or Below
175,1000,30,27,male,college
213,1000,30,35,male,High School or Below
96,1000,30,23,male,High School or Below
186,1000,15,31,male,High School or Below
41,800,15,50,male,High School or Below
63,1000,30,30,male,High School or Below
199,1000,30,37,male,college
13,800,15,26,male,college
218,1000,30,31,male,college
179,1000,30,30,male,High School or Below
17,800,30,26,male,college
11,900,7,26,female,college
217,1000,30,32,male,college
90,1000,30,27,female,college
51,1000,30,34,male,Bechalor
85,1000,30,31,male,High School or Below
124,1000,30,26,female,college
161,1000,30,32,male,college
88,1000,7,29,male,college
204,1000,15,29,male,college
248,1000,30,29,male,college
228,800,15,31,female,Bechalor
39,1000,30,22,male,High School or Below
86,1000,30,31,male,High School or Below
181,1000,30,27,male,High School or Below
221,1000,7,25,male,college
116,1000,15,22,male,college
145,800,15,35,male,High School or Below
158,1000,15,34,male,High School or Below
284,1000,30,30,female,High School or Below
255,1000,30,36,male,Bechalor
342,1000,30,25,male,High School or Below
236,1000,30,30,male,Bechalor
230,1000,30,42,male,High School or Below
200,1000,30,36,male,High School or Below
170,1000,30,26,female,High School or Below
125,1000,15,26,male,Bechalor
286,1000,30,34,male,High School or Below
245,1000,30,30,male,High School or Below
71,1000,30,27,female,college
268,1000,30,24,male,college
292,1000,30,25,male,college
246,1000,15,24,male,Bechalor
275,1000,30,37,male,college
81,800,15,38,male,college
324,1000,30,33,male,college
95,1000,30,40,male,college
271,1000,30,22,male,Bechalor
133,1000,15,28,female,college
244,1000,30,30,male,college
264,800,15,28,male,college
333,800,15,46,male,High School or Below
137,1000,30,28,male,High School or Below
100,1000,30,22,male,High School or Below
19,1000,30,25,male,High School or Below
269,1000,30,30,male,High School or Below
314,1000,30,27,female,High School or Below
323,1000,15,30,male,college
239,1000,30,31,male,college
329,1000,15,30,male,Bechalor
8,300,7,29,male,college
107,1000,15,34,male,Bechalor
53,1000,30,45,male,college
27,1000,30,37,male,college
144,1000,30,29,male,college
60,1000,30,33,female,Bechalor
92,1000,30,33,male,college
32,1000,30,21,male,Bechalor
320,1000,15,40,male,High School or Below
225,800,30,23,female,college
185,800,15,31,female,High School or Below
135,1000,15,24,male,High School or Below
299,1000,30,26,male,High School or Below
220,1000,15,37,female,college
22,800,15,39,male,Bechalor
209,1000,7,31,male,college
62,1000,15,25,male,college
335,1000,15,38,male,Bechalor
215,800,15,38,male,college
288,1000,30,23,male,High School or Below
257,1000,30,29,male,High School or Below
52,1000,30,34,male,High School or Below
290,1000,15,39,male,High School or Below
173,1000,7,26,female,Bechalor
35,1000,7,31,male,Bechalor
178,1000,15,27,male,High School or Below
167,1000,15,40,male,college
226,1000,15,30,male,High School or Below
120,800,15,35,male,college
44,1000,30,34,male,High School or Below
76,1000,30,33,male,High School or Below
208,800,15,30,female,High School or Below
212,800,15,34,male,High School or Below
267,1000,30,27,male,High School or Below
216,500,7,22,male,High School or Below
303,1000,30,37,male,High School or Below
9,1000,15,39,male,High School or Below
283,1000,30,21,male,High School or Below
296,1000,30,27,male,High School or Below
104,1000,30,26,male,college
302,1000,30,41,male,High School or Below
341,800,15,32,male,High School or Below
91,1000,30,27,male,college
182,1000,30,35,male,High School or Below
331,1000,30,29,male,High School or Below
172,1000,30,20,male,college
