,Principal,terms,age,Gender,Bechalor,High School or Below,college
214,1000,15,35,1,1,0,0
162,1000,30,30,0,0,1,0
343,800,15,39,0,0,0,1
211,800,15,26,0,0,0,1
58,800,15,29,0,0,0,1
285,1000,30,38,1,0,0,1
42,1000,30,35,1,1,0,0
4,1000,30,29,0,0,0,1
40,1000,30,32,0,0,0,1
276,800,15,32,0,0,0,1
121,800,15,33,1,0,0,1
136,800,15,31,0,1,0,0
201,800,15,33,0,0,1,0
109,1000,15,26,0,0,1,0
103,1000,30,33,0,0,0,1
118,1000,30,20,0,0,1,0
77,1000,30,36,0,0,0,1
180,1000,30,33,1,0,1,0
233,1000,30,32,1,0,0,1
70,1000,30,24,1,0,1,0
6,1000,30,28,0,0,0,1
191,1000,30,33,0,1,0,0
332,1000,30,26,0,0,1,0
231,800,30,40,1,0,0,1
188,1000,15,35,0,0,0,1
134,1000,30,27,0,0,1,0
262,800,15,27,0,0,0,1
153,300,7,29,0,0,1,0
3,1000,30,28,1,0,0,1
252,1000,30,41,0,0,1,0
122,1000,30,30,0,0,1,0
78,1000,30,34,0,0,0,1
64,1000,30,35,0,0,0,1
18,1000,30,26,0,0,0,1
336,1000,15,32,0,0,1,0
43,800,15,35,1,1,0,0
266,1000,30,33,0,0,0,1
140,1000,30,24,0,0,1,0
327,1000,30,25,0,0,1,0
222,1000,30,19,0,0,1,0
260,1000,15,29,0,0,0,1
310,800,15,29,0,0,1,0
273,1000,30,25,0,0,0,1
45,1000,30,21,0,0,1,0
305,1000,30,45,0,0,1,0
143,1000,15,38,0,0,1,0
265,1000,30,40,0,0,1,0
294,1000,30,23,0,0,1,0
196,800,15,26,0,0,0,1
21,1000,30,29,0,0,1,0
108,1000,30,38,0,1,0,0
57,1000,30,43,0,1,0,0
234,1000,30,28,0,0,0,1
321,1000,30,29,0,0,0,1
29,1000,30,37,0,0,0,1
149,1000,30,38,0,0,1,0
325,1000,30,30,0,0,0,1
94,1000,15,25,0,0,1,0
311,1000,30,26,0,0,1,0
194,800,15,37,0,1,0,0
132,800,15,29,0,0,1,0
89,800,15,29,0,0,0,1
190,1000,15,30,0,0,1,0
34,800,15,30,0,0,0,1
72,800,15,46,1,0,1,0
315,800,30,33,0,0,1,0
263,800,15,24,0,1,0,0
139,1000,15,25,0,0,1,0
337,1000,15,30,0,0,0,1
326,1000,30,32,0,0,0,1
111,1000,30,26,0,0,1,0
287,1000,30,31,0,0,0,1
12,1000,7,27,0,0,1,0
87,1000,30,28,0,0,0,1
164,1000,30,27,1,0,1,0
175,1000,30,27,0,0,0,1
213,1000,30,35,0,0,1,0
96,1000,30,23,0,0,1,0
186,1000,15,31,0,0,1,0
41,800,15,50,0,0,1,0
63,1000,30,30,0,0,1,0
199,1000,30,37,0,0,0,1
13,800,15,26,0,0,0,1
218,1000,30,31,0,0,0,1
179,1000,30,30,0,0,1,0
17,800,30,26,0,0,0,1
11,900,7,26,1,0,0,1
217,1000,30,32,0,0,0,1
