,0
0,PAIDOFF
1,PAIDOFF
2,COLLECTION
3,PAIDOFF
4,PAIDOFF
5,COLLECTION
6,PAIDOFF
7,PAIDOFF
8,PAIDOFF
9,COLLECTION
10,PAIDOFF
11,PAIDOFF
12,PAIDOFF
13,PAIDOFF
14,PAIDOFF
15,PAIDOFF
16,PAIDOFF
17,PAIDOFF
18,PAIDOFF
19,PAIDOFF
20,PAIDOFF
21,PAIDOFF
22,COLLECTION
23,PAIDOFF
24,PAIDOFF
25,PAIDOFF
26,COLLECTION
27,PAIDOFF
28,PAIDOFF
29,PAIDOFF
30,PAIDOFF
31,PAIDOFF
32,PAIDOFF
33,PAIDOFF
34,COLLECTION
35,PAIDOFF
36,COLLECTION
37,PAIDOFF
38,COLLECTION
39,PAIDOFF
40,COLLECTION
41,COLLECTION
42,COLLECTION
43,PAIDOFF
44,COLLECTION
45,PAIDOFF
46,COLLECTION
47,COLLECTION
48,PAIDOFF
49,PAIDOFF
50,PAIDOFF
51,PAIDOFF
52,PAIDOFF
53,COLLECTION
54,PAIDOFF
55,PAIDOFF
56,COLLECTION
57,PAIDOFF
58,COLLECTION
59,PAIDOFF
60,PAIDOFF
61,PAIDOFF
62,PAIDOFF
63,PAIDOFF
64,PAIDOFF
65,COLLECTION
66,COLLECTION
67,PAIDOFF
68,COLLECTION
69,COLLECTION
70,PAIDOFF
71,COLLECTION
72,PAIDOFF
73,PAIDOFF
74,PAIDOFF
75,PAIDOFF
76,PAIDOFF
77,PAIDOFF
78,PAIDOFF
79,PAIDOFF
80,PAIDOFF
81,PAIDOFF
82,PAIDOFF
83,PAIDOFF
84,PAIDOFF
85,PAIDOFF
86,PAIDOFF
87,PAIDOFF
88,PAIDOFF
89,PAIDOFF
90,PAIDOFF
91,PAIDOFF
92,PAIDOFF
93,PAIDOFF
94,PAIDOFF
95,PAIDOFF
96,PAIDOFF
97,PAIDOFF
98,PAIDOFF
99,PAIDOFF
100,PAIDOFF
101,PAIDOFF
102,PAIDOFF
103,PAIDOFF
104,COLLECTION
105,PAIDOFF
106,COLLECTION
107,PAIDOFF
108,PAIDOFF
109,PAIDOFF
110,PAIDOFF
111,PAIDOFF
112,COLLECTION
113,PAIDOFF
114,PAIDOFF
115,COLLECTION
116,COLLECTION
117,PAIDOFF
118,COLLECTION
119,PAIDOFF
120,COLLECTION
121,PAIDOFF
122,COLLECTION
123,PAIDOFF
124,PAIDOFF
125,COLLECTION
126,COLLECTION
127,PAIDOFF
128,PAIDOFF
129,PAIDOFF
130,COLLECTION
131,COLLECTION
132,COLLECTION
133,PAIDOFF
134,COLLECTION
135,PAIDOFF
136,PAIDOFF
137,PAIDOFF
138,PAIDOFF
139,PAIDOFF
140,PAIDOFF
141,PAIDOFF
142,PAIDOFF
143,COLLECTION
144,PAIDOFF
145,PAIDOFF
146,PAIDOFF
147,COLLECTION
148,PAIDOFF
149,PAIDOFF
150,PAIDOFF
151,PAIDOFF
152,COLLECTION
153,PAIDOFF
154,COLLECTION
155,PAIDOFF
156,PAIDOFF
157,COLLECTION
158,PAIDOFF
159,PAIDOFF
160,PAIDOFF
161,PAIDOFF
162,PAIDOFF
163,PAIDOFF
164,PAIDOFF
165,PAIDOFF
166,PAIDOFF
167,PAIDOFF
168,COLLECTION
169,PAIDOFF
170,COLLECTION
171,PAIDOFF
172,COLLECTION
173,COLLECTION
174,PAIDOFF
175,COLLECTION
176,COLLECTION
177,PAIDOFF
178,PAIDOFF
179,COLLECTION
180,PAIDOFF
181,PAIDOFF
182,PAIDOFF
183,PAIDOFF
184,PAIDOFF
185,PAIDOFF
186,COLLECTION
187,PAIDOFF
188,PAIDOFF
189,PAIDOFF
190,PAIDOFF
191,COLLECTION
192,PAIDOFF
193,PAIDOFF
194,PAIDOFF
195,PAIDOFF
196,PAIDOFF
197,PAIDOFF
198,PAIDOFF
199,COLLECTION
200,PAIDOFF
201,PAIDOFF
202,COLLECTION
203,PAIDOFF
204,PAIDOFF
205,COLLECTION
206,PAIDOFF
207,PAIDOFF
208,PAIDOFF
209,PAIDOFF
210,PAIDOFF
211,PAIDOFF
212,PAIDOFF
213,COLLECTION
214,PAIDOFF
215,PAIDOFF
216,PAIDOFF
217,PAIDOFF
218,COLLECTION
219,COLLECTION
220,PAIDOFF
221,PAIDOFF
222,PAIDOFF
223,PAIDOFF
224,PAIDOFF
225,COLLECTION
226,PAIDOFF
227,COLLECTION
228,PAIDOFF
229,PAIDOFF
230,PAIDOFF
231,PAIDOFF
232,PAIDOFF
233,PAIDOFF
234,PAIDOFF
235,PAIDOFF
236,PAIDOFF
237,COLLECTION
238,PAIDOFF
239,PAIDOFF
240,PAIDOFF
241,PAIDOFF
